2.19343573,3.56124735,-7.84655336 0.39951296,-8.19447089,3.14069256
1.57037858,4.10365215,-14.45095774 0.88382271,-14.47634534,3.91113008
3.57249816,-12.82992789,4.37489253 -0.4374589,3.45288642,-12.89248088
3.1060967,0.26707551,-8.28328864 -7.82534382,2.40034931,3.61875575
-8.1562025,-1.04643004,2.70621496 3.60530597,4.42257228,-7.28163318
-15.90423279,3.77492544,1.41540067 3.63562377,-15.9417174,1.03233255
3.66286132,-7.07462742,4.63724872 -8.26467132,2.58824374,-1.18403466
-8.19271322,-1.5266189,2.51553833 3.62893406,5.12904422,-6.88423763
4.03326431,-7.34631815,3.58856066 -0.78125229,2.73989613,-8.12956805
-16.35695613,1.4359166,-4.4237809 1.39656115,-16.38762414,-8.33387635
-0.86575358,-8.21157458,2.75702359 4.16183207,3.63092298,-7.38268833
-1.66536882,-8.20750903,2.38354421 5.35208917,3.63980841,-6.63470771
3.60839381,5.39102977,-6.7113426 -8.14863342,-1.7045801,2.44121986
-1.17186634,-8.25706009,2.65333193 4.61371259,3.65790464,-7.1870986
-6.07355568,3.5401407,4.92154907 1.95934988,-7.99097375,-1.28542536
1.43449998,-6.83474224,-16.37832903 -16.38940782,-7.43090646,1.42203742
-16.30661268,-5.67733508,1.43318017 1.34224592,-8.22187459,-16.38617061
2.65958158,-8.28770452,-0.86778568 -7.22112071,3.67063815,4.17644721
3.65677204,-7.37405885,3.9740343 -8.26617662,2.75034232,-0.73562989
-1.63620952e+01,7.09828339e-01,1.24213440e-02 1.40403494e+00,-1.53519731e+01,-1.45407885e+01
3.33547725,3.62898361,-7.65468999 -0.32197636,-8.23394897,2.93564196
-10.09152574,-16.36718459,1.42778962 -4.34531477,1.4316961,-16.38447203
-15.91403764,3.1984171,0.10396261 3.99381111,-15.85967738,2.74032609
-7.27202573,1.42342333,-16.37304172 -6.35059913,-16.38060014,1.41642339
3.54812124,-6.42016191,5.92354133 -8.02440406,2.33613639,-2.06663809
4.000349,0.60047699,-11.55522855 -11.58051592,1.93589041,4.28134954
-15.61678039,-14.30149144,1.37929385 0.94628133,-0.09479257,-16.33959356
3.41109539,6.16854629,-6.26349335 -7.75467314,-2.26909189,2.31212871
4.07052022,3.62803304,-7.08484229 -0.79172657,-8.2027153,2.58022321
1.55910268,3.46293141,-7.99897415 0.85437308,-8.11598991,3.30062318
1.8727031,-2.00302798,-8.04739423 -5.76481391,5.98039448,3.57758086
-6.92172585,4.98833203,3.67968805 2.51811545,-1.42157145,-8.29342587
-1.90523927,-7.97237628,2.28975881 5.68080158,3.52307774,-6.37843853
