-8.19447089,-7.84655336,0.39951296
3.56124735,3.14069256,2.19343573
-14.47634534,-14.45095774,0.88382271
4.10365215,3.91113008,1.57037858
-12.89248088,-12.82992789,-0.4374589
4.37489253,3.45288642,3.57249816
-8.28328864,-7.82534382,0.26707551
3.61875575,3.1060967,2.40034931
-8.1562025,-7.28163318,-1.04643004
3.60530597,2.70621496,4.42257228
-15.9417174,-15.90423279,1.03233255
3.77492544,3.63562377,1.41540067
-8.26467132,-7.07462742,-1.18403466
3.66286132,2.58824374,4.63724872
-8.19271322,-6.88423763,-1.5266189
3.62893406,2.51553833,5.12904422
-8.12956805,-7.34631815,-0.78125229
3.58856066,2.73989613,4.03326431
-16.38762414,-16.35695613,-8.33387635
1.4359166,1.39656115,-4.4237809
-8.21157458,-7.38268833,-0.86575358
3.63092298,2.75702359,4.16183207
-8.20750903,-6.63470771,-1.66536882
3.63980841,2.38354421,5.35208917
-8.14863342,-6.7113426,-1.7045801
3.60839381,2.44121986,5.39102977
-8.25706009,-7.1870986,-1.17186634
3.65790464,2.65333193,4.61371259
-7.99097375,-6.07355568,-1.28542536
3.5401407,1.95934988,4.92154907
-16.38940782,-16.37832903,-7.43090646
1.43449998,1.42203742,-6.83474224
-16.38617061,-16.30661268,-8.22187459
1.43318017,1.34224592,-5.67733508
-8.28770452,-7.22112071,-0.86778568
3.67063815,2.65958158,4.17644721
-8.26617662,-7.37405885,-0.73562989
3.65677204,2.75034232,3.9740343
-1.63620952e+01,-1.53519731e+01,-1.45407885e+01
1.40403494e+00,7.09828339e-01,1.24213440e-02
-8.23394897,-7.65468999,-0.32197636
3.62898361,2.93564196,3.33547725
-16.38447203,-16.36718459,-10.09152574
1.42778962,1.4316961,-4.34531477
-15.91403764,-15.85967738,0.10396261
3.99381111,3.1984171,2.74032609
-16.38060014,-16.37304172,-7.27202573
1.42342333,1.41642339,-6.35059913
-8.02440406,-6.42016191,-2.06663809
3.54812124,2.33613639,5.92354133
-11.58051592,-11.55522855,0.60047699
4.000349,4.28134954,1.93589041
-16.33959356,-15.61678039,-14.30149144
